Date,Open,High,Low,Close,Volume,Adj_Close,Change
2013/10/11,94.69,94.8,94.33,94.74,4132600,94.74,0.3
2013/10/10,94.22,94.44,93.51,94.44,4531000,94.44,1.17
2013/10/9,93.82,93.96,93.14,93.27,5159400,93.27,-0.67
2013/10/8,94.27,94.58,93.94,93.94,3643900,93.94,-0.42
2013/10/7,94.26,94.8,94.14,94.36,3037100,94.36,-0.34
2013/10/4,94.61,94.8,94.4,94.7,3047700,94.7,0.03
2013/10/3,95.15,95.21,94.61,94.67,4855700,94.67,-0.61
2013/10/2,95.58,95.88,94.01,95.28,7250300,95.28,-0.85
2013/10/1,96.18,96.39,95.85,96.13,3240700,96.13,-0.08
2013/9/30,96.46,96.69,95.11,96.21,4404500,96.21,-0.91
2013/9/27,97.89,97.99,97,97.12,3533100,97.12,-1.07
2013/9/26,97.89,98.32,97.79,98.19,3604900,98.19,0.57
2013/9/25,97.8,97.99,97.41,97.62,4053200,97.62,-0.16
2013/9/24,97.14,98.6,96.86,97.78,4810300,97.78,0.5
2013/9/23,96.97,97.58,96.82,97.28,3301600,97.28,0.38
2013/9/20,97.7,98.05,96.9,96.9,8077000,96.9,-1.02
2013/9/19,98.5,98.51,97,97.92,6430800,97.92,-0.78
2013/9/18,97.87,98.99,97.64,98.7,4279600,98.7,0.78
2013/9/17,97.58,98.36,97.49,97.92,3256900,97.92,0.21
2013/9/16,97.88,98.17,97.4,97.71,3490900,97.71,0.36
2013/9/13,97.34,97.65,97.13,97.35,2668700,97.35,0.17
2013/9/12,97.48,97.85,97.07,97.18,4277300,97.18,-0.28
2013/9/11,96.66,97.46,96.37,97.46,3928600,97.46,0.57
2013/9/10,97.1,97.36,96.5,96.89,4984300,96.89,0.44
2013/9/9,96.22,96.79,96.21,96.45,3525200,96.45,0.19
2013/9/6,95.87,96.75,95.25,96.26,4485800,96.26,0.6
2013/9/5,95.33,96.46,95.08,95.66,4275300,95.66,0.5
2013/9/4,94.5,95.36,94.34,95.16,2898800,95.16,0.64
2013/9/3,95.1,95.28,94.12,94.52,3672100,94.52,0.16
2013/8/30,95,95.13,94.14,94.36,3993000,94.36,-0.5
2013/8/29,95.65,95.98,94.7,94.86,4796600,94.86,-1.22
2013/8/28,95,96.33,95,96.08,5482500,95.31,1.24
2013/8/27,94.86,95.19,94.01,94.84,4513100,94.08,-0.47
2013/8/26,95.36,95.94,95.1,95.31,3060000,94.55,0.18
2013/8/23,95.57,95.68,94.91,95.13,12274200,94.37,-0.33
2013/8/22,95.37,95.69,95.21,95.46,15364400,94.69,0.35
2013/8/21,95.41,95.82,95.11,95.11,3430600,94.35,-0.39
2013/8/20,95.51,95.9,95.36,95.5,2827800,94.73,0.02
2013/8/19,95.12,95.99,95.05,95.48,3126200,94.71,0.45
2013/8/16,95.2,95.5,95.01,95.03,3324000,94.27,-0.36
2013/8/15,95.55,95.91,95.19,95.39,4207500,94.63,-0.72
2013/8/14,96.24,96.37,95.64,96.11,5448700,95.34,-0.34
2013/8/13,97.02,97.1,96.11,96.45,5188300,95.68,-0.59
2013/8/12,97.49,97.8,97,97.04,3256800,96.26,-0.58
2013/8/9,97.9,98.4,97.07,97.62,4041800,96.84,-0.42
2013/8/8,98.64,98.99,97.44,98.04,4862300,97.25,-0.29
2013/8/7,98.6,98.99,98.27,98.33,3256400,97.54,-0.36
2013/8/6,99.33,99.4,98.37,98.69,3507200,97.9,-0.62
2013/8/5,99.01,99.44,98.83,99.31,3326400,98.51,0.11
2013/8/2,98.81,99.2,98.45,99.2,3224300,98.4,0.2
2013/8/1,98.62,99.24,98.32,99,3954600,98.21,0.92
2013/7/31,98.32,98.54,97.63,98.08,5343000,97.29,-0.29
2013/7/30,98,98.54,97.84,98.37,4127400,97.58,0.5
2013/7/29,97.96,98.03,97.39,97.87,3592500,97.09,-0.16
2013/7/26,97.25,98.08,96.92,98.03,4561600,97.24,0.54
2013/7/25,96.67,97.59,96.56,97.49,4208100,96.71,0.83
2013/7/24,97.21,97.4,96.3,96.66,5197900,95.89,-0.1
2013/7/23,97.55,97.72,96.68,96.76,6989300,95.98,-0.82
2013/7/22,97.75,97.93,97.06,97.58,13209600,96.8,-2.69
2013/7/19,100.2,100.41,99.53,100.27,4508300,99.47,0.09
2013/7/18,100.48,100.77,99.99,100.18,3401600,99.38,0.08
2013/7/17,100.05,100.35,99.3,100.1,5377400,99.3,-0.78
2013/7/16,100.18,101.12,99.47,100.88,4406200,100.07,0.13
2013/7/15,101.6,101.73,100.7,100.75,4480700,99.94,-0.83
2013/7/12,100.59,101.81,100.5,101.58,4766800,100.77,0.79
2013/7/11,100.75,100.96,99.76,100.79,4064100,99.98,0.81
2013/7/10,100.15,100.36,99.4,99.98,3532400,99.18,-0.01
2013/7/9,100.24,100.37,99.2,99.99,4120100,99.19,0.11
2013/7/8,100.28,100.5,99.55,99.88,4064300,99.08,0.02
2013/7/5,100.69,100.84,99.25,99.86,3933900,99.06,-0.49
2013/7/3,99.95,100.56,99.71,100.35,1676300,99.55,0.42
2013/7/2,99.82,100.5,99.39,99.93,3850500,99.13,0.11
2013/7/1,99.35,100.3,99.26,99.82,4053500,99.02,0.82
2013/6/28,99.51,100.11,98.93,99,5386400,98.21,-0.65
2013/6/27,99.45,99.82,99.13,99.65,4497100,98.85,0.81
2013/6/26,98.36,99.14,98.04,98.84,3585500,98.05,1.32
2013/6/25,97.91,97.99,97.14,97.52,3211300,96.74,0.23
2013/6/24,96.54,97.71,96.02,97.29,4244500,96.51,0.06
2013/6/21,97.36,97.75,96.89,97.23,7227000,96.45,0.44
2013/6/20,98.37,98.68,96.62,96.79,5550100,96.01,-2.02
2013/6/19,99.71,100.07,98.53,98.81,3518200,98.02,-0.94
2013/6/18,98.98,100.04,98.95,99.75,3340100,98.95,1.01
2013/6/17,99.3,99.69,98.3,98.74,4884800,97.95,0.32
2013/6/14,98.83,99.42,98.23,98.42,3351100,97.63,-0.46
2013/6/13,98.1,99.07,97.87,98.88,2927800,98.09,0.64
2013/6/12,98.74,99.1,98.07,98.24,4485200,97.45,0.01
2013/6/11,99.02,99.49,98.07,98.23,4812800,97.44,-1.3
2013/6/10,99.8,100.18,99.12,99.53,5718400,98.73,1.25
2013/6/7,97.06,98.69,97,98.28,5036800,97.49,1.6
