townName,totalPopulation,numberOfBirths,residentBirths,districtType,perCapitaIncome,townWealth,townWealthRank
Andover,3209,85,41,2,30273,129778.01,56
Ansonia,18744,526,237,1,20504,73535.32,11
Ashford,4416,83,44,2,26104,93862.01,24
Avon,17209,325,154,0,51706,349844.81,143
Barkhamsted,3711,88,41,0,28961,154936.2,73
BeaconFalls,5596,124,68,0,25285,124391.16,47
Berlin,19590,385,192,0,27744,186167.96,98
Bethany,5473,97,46,0,31403,192446.28,102
Bethel,18760,455,189,0,28927,201296.09,105
Bethlehem,3596,50,26,0,29672,221196.96,114
Bloomfield,20581,349,167,1,28843,175040.4,91
Bolton,5170,96,38,0,29205,146646.52,65
Bozrah,2445,45,16,0,26569,162721.25,79
Branford,29089,549,235,2,32301,273856.62,130
Bridgeport,139008,4540,2341,1,16306,42948.08,5
Bridgewater,1898,18,15,0,42505,643879.2,159
Bristol,61353,1431,797,1,23362,95436.03,25
Brookfield,16354,326,165,0,37063,310184.6,139
Brooklyn,7711,157,93,2,20359,78890.75,13
Burlington,9097,231,109,0,36173,178067.23,93
Canaan,1101,25,17,0,35841,293788.05,137
Canterbury,5060,122,48,2,22317,101254.75,31
Canton,9932,200,93,0,33151,181017.03,96
Chaplin,2472,37,24,2,22101,97105.64,29
Cheshire,29097,534,252,0,33903,204467.08,108
Chester,3832,84,29,0,32191,259028.19,125
Clinton,13612,331,165,0,26080,205463.59,109
Colchester,15389,404,190,2,27038,108217.27,34
Colebrook,1540,21,8,0,29789,208104.48,111
Columbia,5336,102,57,0,29446,170968.1,87
Cornwall,1489,22,11,0,42484,596975.86,157
Coventry,12190,283,144,2,27143,120780,43
Cromwell,13594,268,148,0,29786,173600.46,89
Danbury,78736,2318,1165,1,24500,167807.83,85
Darien,20452,614,299,0,77519,1276224.12,167
DeepRiver,4714,99,51,0,32604,225502.25,116
Derby,12536,281,152,2,23117,126753.15,52
Durham,7266,142,61,0,29306,179162.45,95
EastGranby,5058,64,60,0,30805,185409.36,97
EastHaddam,8808,168,95,0,28112,173913.4,90
EastHampton,12194,261,139,0,22769,134144.04,60
EastHartford,49173,791,723,1,21763,76065.86,12
EastHaven,28755,1003,306,2,22396,115649.15,39
EastLyme,18459,443,130,0,28765,216338.83,113
EastWindsor,10447,273,106,0,24899,135845.9,62
Eastford,1761,82,16,2,25364,124655.19,48
Easton,7488,211,95,0,53885,585950.85,156
Ellington,14217,308,141,0,27766,126945.88,53
Enfield,45441,900,456,2,21967,107637.2,33
Essex,6783,129,56,0,42806,429987.73,148
Fairfield,57813,1437,698,0,43670,507789.86,153
Farmington,24941,442,218,0,39102,276339.21,132
Franklin,1916,32,18,0,25477,165627.35,83
Glastonbury,33089,718,326,0,40820,225236.9,115
Goshen,3092,43,17,0,33925,361620.7,144
Granby,11088,223,103,0,33863,164202.91,81
Greenwich,62236,1468,670,2,74346,2149614.19,169
Griswold,11254,254,114,2,21196,85131.22,19
Groton,41366,1330,669,2,23995,171134.04,88
Guilford,22307,432,198,0,37161,303773.48,138
Haddam,7635,151,68,0,30519,210774.5,112
Hamden,58180,1300,664,2,26039,151170.48,70
Hampton,2034,29,19,2,25344,130687.99,58
Hartford,124397,4355,2126,1,13428,28928.31,1
Hartland,2082,49,24,0,26473,153468.41,71
Harwinton,5571,101,58,0,32137,178809.75,94
Hebron,9198,245,97,0,30797,135120.99,61
Kent,48,2962,58,7.4,2.9,38674,456039.45,151
Killingly,17386,427,216,2,19779,82469.28,15
Killingworth,6403,155,69,0,31929,235611.07,120
Lebanon,7334,135,78,0,25784,114524.21,38
Ledyard,15172,380,190,2,24953,120271.38,42
Lisbon,4234,77,37,2,22476,111162.14,36
Litchfield,8684,146,58,0,30096,230384.15,119
Lyme,2099,35,15,0,43347,697140.66,161
Madison,18812,357,130,0,40537,330954.62,141
Manchester,55572,1379,706,2,25989,125769.16,51
Mansfield,24558,224,102,2,18094,91596.8,21
Marlborough,6267,145,68,0,35605,186307.75,99
Meriden,59653,1655,834,1,20597,69915.95,9
Middlebury,6974,128,53,0,33056,263158.07,127
Middlefield,4281,93,41,0,25711,166919.57,84
Middletown,47438,1147,521,1,25720,142932.02,63
Milford,54802,1138,553,2,28882,260848.55,126
Monroe,19650,412,190,0,34161,227328.57,117
Montville,19612,393,220,0,22357,115702.84,40
Morris,2393,46,21,0,29233,255134.24,123
Naugatuck,31864,760,391,2,22757,82473.46,16
NewBritain,71254,1955,1056,1,18404,38829.59,2
NewCanaan,19984,441,210,0,82049,1429245.21,168
NewFairfield,14261,314,126,0,34928,241369.08,122
NewHartford,6746,153,72,0,30429,177278.19,92
NewHaven,124791,3908,2085,1,16393,43321.78,6
NewLondon,26174,694,370,0,18437,68058.2,8
NewMilford,28667,606,351,0,29630,204416.58,107
Newington,29676,658,288,1,26881,160870.95,77
Newtown,26996,615,275,0,37786,268882.89,128
Norfolk,1676,25,14,0,34020,275581.13,131
NorthBranford,14398,258,129,0,28542,159269.1,76
NorthCanaan,3392,37,23,2,18971,125261.41,50
